time,ax,ay,az,atotal
0.000,0.04,0.15,0.05,0.16
0.010,-0.10,-0.14,-0.76,0.78
0.020,-0.07,-0.28,-1.16,1.19
0.030,0.20,-0.10,-1.05,1.07
0.040,0.50,0.11,-0.62,0.81
0.050,0.54,0.14,-0.34,0.66
0.060,0.60,0.13,-0.38,0.72
0.070,0.66,0.05,-0.33,0.74
0.080,0.71,0.13,-0.17,0.74
0.090,0.75,0.35,-0.30,0.88
0.100,0.56,0.57,-0.77,1.11
0.110,0.16,0.86,-1.43,1.67
0.120,-0.07,1.21,-2.37,2.66
0.130,-0.91,1.31,-4.04,4.34
0.140,-1.39,1.36,-5.51,5.84
0.150,0.32,0.62,-6.70,6.74
0.160,1.43,0.09,-8.55,8.66
0.170,1.55,-0.68,-9.33,9.49
0.180,1.56,-1.37,-9.55,9.77
0.190,2.00,-1.20,-9.46,9.74
0.200,2.41,-1.18,-9.35,9.73
0.210,2.80,-1.13,-9.25,9.73
0.221,3.18,-1.07,-9.14,9.74
0.230,3.54,-1.03,-8.98,9.71
0.241,3.92,-0.99,-8.82,9.70
0.250,4.29,-0.95,-8.67,9.72
0.261,4.63,-0.90,-8.48,9.71
0.271,4.97,-0.87,-8.27,9.69
0.281,5.30,-0.82,-8.06,9.68
0.291,5.61,-0.78,-7.85,9.68
0.301,5.95,-0.73,-7.62,9.69
0.310,6.22,-0.67,-7.37,9.67
0.321,6.51,-0.63,-7.12,9.67
0.331,6.78,-0.57,-6.86,9.67
0.341,7.04,-0.53,-6.59,9.66
0.351,7.30,-0.49,-6.31,9.67
0.361,7.54,-0.43,-6.05,9.68
0.371,7.76,-0.39,-5.76,9.67
0.381,7.95,-0.34,-5.47,9.66
0.391,8.16,-0.28,-5.20,9.67
0.401,8.34,-0.23,-4.91,9.68
0.411,8.52,-0.17,-4.62,9.69
0.421,8.68,-0.13,-4.33,9.70
0.431,8.82,-0.06,-4.04,9.70
0.441,8.95,-0.01,-3.76,9.71
0.451,9.08,0.05,-3.46,9.72
0.461,9.17,0.10,-3.18,9.71
0.471,9.26,0.15,-2.89,9.70
0.481,9.36,0.22,-2.60,9.72
0.491,9.44,0.29,-2.33,9.72
0.501,9.51,0.34,-2.05,9.73
0.511,9.56,0.40,-1.77,9.73
0.521,9.61,0.47,-1.48,9.74
0.531,9.65,0.53,-1.19,9.74
0.541,9.68,0.59,-0.90,9.74
0.551,9.68,0.67,-0.57,9.72
0.561,9.72,0.72,-0.33,9.75
0.571,-15.87,-4.94,-0.52,16.63
0.581,-277.72,-67.63,19.85,286.52
0.591,-191.45,31.25,19.25,194.93
0.601,36.06,-0.89,-4.26,36.32
0.611,8.72,-4.55,-0.26,9.83
0.621,8.97,-2.89,-1.02,9.48
0.631,9.70,-4.07,-1.28,10.59
0.641,9.16,-4.47,-1.47,10.30
0.651,9.02,-5.03,-1.62,10.46
0.661,8.73,-5.55,-1.74,10.49
0.671,8.46,-6.07,-1.87,10.58
0.681,8.14,-6.55,-1.95,10.62
0.691,7.78,-7.03,-2.00,10.68
0.701,7.43,-7.48,-2.00,10.73
0.711,7.04,-7.93,-1.96,10.79
0.721,6.64,-8.34,-1.89,10.83
0.731,6.24,-8.74,-1.79,10.89
0.741,5.81,-9.12,-1.65,10.94
0.752,5.38,-9.46,-1.47,10.98
0.762,4.94,-9.77,-1.27,11.03
0.772,4.49,-10.07,-1.04,11.07
0.782,4.05,-10.32,-0.80,11.12
0.792,3.60,-10.55,-0.54,11.16
0.802,3.15,-10.75,-0.24,11.20
0.812,2.68,-10.90,0.07,11.23
0.822,2.21,-11.04,0.39,11.26
0.832,1.74,-11.12,0.71,11.28
0.842,1.28,-11.16,1.05,11.28
0.852,0.82,-11.18,1.41,11.30
0.862,0.35,-11.16,1.75,11.30
0.872,-0.12,-11.11,2.10,11.31
0.882,-0.61,-11.01,2.44,11.29
0.892,-1.06,-10.87,2.75,11.27
0.902,-1.52,-10.71,3.07,11.25
0.912,-2.00,-10.52,3.37,11.23
0.922,-2.46,-10.27,3.63,11.17
0.932,-2.94,-10.02,3.89,11.14
0.942,-3.40,-9.72,4.13,11.09
0.952,-3.85,-9.39,4.32,11.03
0.962,-4.30,-9.02,4.48,10.95
0.972,-4.77,-8.64,4.62,10.90
0.982,-5.21,-8.24,4.72,10.83
0.992,-5.64,-7.82,4.77,10.76
1.002,-6.04,-7.35,4.81,10.67
1.012,-6.46,-6.88,4.79,10.58
1.022,-6.83,-6.40,4.75,10.50
1.032,-7.20,-5.91,4.68,10.42
1.042,-7.55,-5.37,4.57,10.32
1.052,-7.83,-4.84,4.43,10.22
1.062,-8.14,-4.28,4.25,10.13
1.072,-8.41,-3.74,4.03,10.05
1.082,-9.15,-2.42,4.72,10.58
1.092,-13.54,5.66,15.66,21.47
1.103,-9.94,4.78,14.41,18.15
1.112,-3.85,-7.63,2.35,8.86
1.122,-5.21,-11.33,-0.72,12.49
1.132,-1.68,-10.67,-5.55,12.15
1.142,56.42,-8.35,-69.77,90.11
1.152,59.21,-6.50,-63.56,87.11
1.162,-8.87,0.65,10.43,13.71
1.172,131.11,-55.89,86.21,166.57
1.183,193.80,-103.98,55.99,226.95
1.193,-11.25,-36.96,-13.04,40.77
1.202,-0.91,11.78,-61.75,62.87
1.212,-3.27,-3.66,-37.50,37.82
1.223,-9.53,-2.84,-2.10,10.16
1.233,-8.24,-2.40,-5.26,10.07
1.243,-8.11,-2.61,-5.74,10.27
1.253,-7.81,-2.58,-5.97,10.16
1.263,-7.49,-2.60,-6.35,10.16
1.273,-7.16,-2.59,-6.67,10.13
1.283,-6.78,-2.57,-7.02,10.09
1.293,-6.37,-2.57,-7.35,10.06
1.303,-5.94,-2.53,-7.66,10.02
1.313,-5.51,-2.51,-7.97,10.01
1.323,-4.93,-2.19,-8.23,9.84
1.333,-4.17,-1.14,-8.44,9.49
1.343,-3.52,-0.08,-8.73,9.42
1.353,-2.91,0.62,-9.02,9.50
1.363,-2.64,0.05,-9.19,9.56
1.373,-2.54,-1.06,-9.31,9.70
1.383,-2.16,-1.45,-9.41,9.76
1.393,-1.61,-1.28,-9.50,9.72
1.403,-1.09,-1.17,-9.53,9.66
1.413,-0.80,-1.11,-9.39,9.49
1.423,-20.00,2.75,23.21,30.77
1.433,-38.40,12.95,137.01,142.88
1.443,6.28,-1.47,42.23,42.72
1.453,1.45,-2.58,-22.81,23.00
1.463,2.16,-1.50,-7.36,7.81
1.473,3.81,-1.94,-9.43,10.35
1.483,4.90,-1.84,-8.71,10.16
1.493,6.18,-1.12,-8.11,10.26
1.503,7.36,-0.79,-7.43,10.49
1.513,7.64,-1.07,-7.45,10.72
1.523,4.74,0.40,-11.12,12.09
1.533,4.08,0.10,-8.07,9.04
1.543,6.91,-1.89,-6.45,9.64
1.553,6.35,-1.27,-6.74,9.35
1.563,0.30,0.75,-4.89,4.96
1.573,-12.34,3.32,0.81,12.80
1.583,-7.23,2.76,-0.38,7.75
1.593,4.21,1.53,-4.57,6.40
1.604,2.35,-1.50,-2.85,3.98
1.613,1.75,-1.97,-3.51,4.39
1.624,2.28,-1.02,-7.18,7.60
1.634,1.49,-0.43,-9.24,9.37
1.643,0.16,-0.18,-9.16,9.16
1.653,-0.84,-0.12,-6.88,6.93
1.664,2.37,-0.21,7.74,8.09
1.674,23.32,0.49,85.99,89.10
1.684,9.86,-0.78,33.70,35.12
1.693,-2.10,-0.42,-19.85,19.96
1.704,10.59,0.19,-12.39,16.30
1.714,19.71,0.55,-15.40,25.01
1.724,13.90,0.12,-14.90,20.38
1.734,3.86,-0.18,-10.96,11.63
1.744,0.61,-0.01,-8.95,8.97
1.754,-0.83,0.81,-9.50,9.57
1.764,-2.52,1.62,-7.25,7.84
1.774,-5.03,1.33,-1.17,5.33
1.784,-4.33,0.66,0.20,4.39
1.794,-5.33,-0.55,9.49,10.89
1.804,2.12,-3.03,38.27,38.44
1.814,7.01,-0.59,35.56,36.25
1.824,-2.13,0.24,-9.54,9.78
1.834,1.71,-0.95,-14.99,15.11
1.844,5.76,0.07,-15.31,16.36
1.854,3.15,1.87,-13.34,13.84
1.864,-1.55,1.81,-10.96,11.22
1.874,-2.84,-1.09,-8.44,8.97
1.884,-3.23,-0.34,-8.54,9.14
1.894,-2.65,1.53,-5.01,5.88
1.904,2.06,4.11,23.64,24.09
