time,ax,ay,az,atotal
0.000,0.35,0.08,0.53,0.64
0.010,0.24,0.15,-0.13,0.31
0.020,-0.03,0.19,-0.76,0.79
0.030,-0.21,0.04,-0.97,1.00
0.040,-0.06,0.05,-1.06,1.07
0.050,0.33,0.15,-1.02,1.08
0.060,0.75,0.25,-0.86,1.17
0.070,0.71,0.37,-0.49,0.94
0.080,0.36,0.39,-0.38,0.65
0.090,0.00,0.31,-0.84,0.90
0.100,-0.38,0.36,-1.30,1.41
0.110,-0.03,0.96,-2.16,2.36
0.120,0.42,1.65,-3.09,3.53
0.130,-0.03,1.97,-4.00,4.46
0.140,-0.95,1.89,-4.68,5.13
0.150,-1.75,1.75,-4.97,5.55
0.160,-1.27,1.32,-5.46,5.76
0.171,-0.08,1.44,-5.98,6.15
0.181,0.80,2.10,-5.57,6.01
0.190,1.39,2.04,-6.21,6.68
0.201,2.34,1.56,-7.50,8.01
0.211,2.72,1.94,-7.63,8.33
0.221,3.28,1.70,-7.86,8.68
0.231,4.51,0.65,-8.13,9.32
0.241,5.68,-1.85,-7.76,9.79
0.251,6.26,-2.24,-6.94,9.61
0.261,6.63,-1.95,-6.37,9.40
0.271,7.24,-1.96,-6.05,9.63
0.281,7.18,-1.75,-5.01,8.93
0.291,7.18,-1.64,-3.97,8.37
0.301,8.24,-1.69,-3.95,9.30
0.311,8.82,-1.71,-3.56,9.66
0.321,9.04,-1.66,-2.86,9.62
0.331,9.21,-1.64,-2.18,9.61
0.341,9.35,-1.63,-1.46,9.60
0.351,9.45,-1.61,-0.76,9.61
0.361,9.46,-1.61,-0.02,9.59
0.371,9.41,-1.62,0.71,9.58
0.381,9.35,-1.65,1.43,9.61
0.391,9.19,-1.67,2.13,9.58
0.401,8.99,-1.70,2.83,9.57
0.411,8.73,-1.73,3.51,9.57
0.421,8.42,-1.78,4.16,9.56
0.431,8.04,-1.84,4.78,9.53
0.441,7.62,-1.91,5.38,9.52
0.451,7.13,-1.96,5.92,9.47
0.461,6.57,-2.04,6.45,9.43
0.471,5.98,-2.11,6.94,9.40
0.481,5.34,-2.20,7.38,9.37
0.491,4.66,-2.28,7.76,9.34
0.501,3.92,-2.38,8.10,9.30
0.511,3.17,-2.45,8.38,9.29
0.521,2.38,-2.56,8.60,9.28
0.531,1.60,-2.65,8.75,9.28
0.541,0.79,-2.73,8.82,9.26
0.551,-0.03,-2.83,8.80,9.25
0.561,-0.83,-2.90,8.71,9.22
0.571,-1.60,-2.99,8.57,9.21
0.581,-2.32,-3.08,8.33,9.18
0.591,-3.04,-3.17,8.07,9.19
0.601,-3.72,-3.25,7.76,9.20
0.611,-4.34,-3.34,7.35,9.17
0.621,-4.95,-3.41,6.92,9.16
0.631,-5.50,-3.50,6.46,9.18
0.641,-5.98,-3.58,6.00,9.19
0.651,-6.41,-3.66,5.49,9.20
0.661,-6.79,-3.75,4.97,9.21
0.671,-7.14,-3.82,4.44,9.24
0.681,-6.73,-2.47,5.54,9.06
0.692,65.06,54.80,-17.80,86.91
0.701,291.26,81.77,-231.46,380.92
0.711,-32.25,-66.69,-195.63,209.19
0.722,-33.10,-19.44,27.45,47.19
0.731,18.93,-2.17,12.86,22.98
0.742,6.80,-7.81,6.54,12.25
0.751,10.30,-7.09,7.16,14.41
0.762,10.62,-7.48,5.00,13.91
0.772,10.94,-7.63,3.43,13.77
0.782,10.82,-7.78,1.76,13.44
0.792,10.29,-7.92,0.18,12.99
0.802,9.44,-8.09,-1.27,12.49
0.812,8.29,-8.27,-2.47,11.97
0.822,6.93,-8.49,-3.42,11.48
0.832,5.42,-8.75,-4.05,11.06
0.842,3.93,-9.03,-4.36,10.77
0.852,2.49,-9.34,-4.35,10.60
0.862,1.17,-9.61,-4.06,10.50
0.872,0.06,-9.89,-3.50,10.49
0.882,-0.80,-10.14,-2.79,10.54
0.892,-1.37,-10.31,-1.92,10.57
0.902,-1.61,-10.44,-0.99,10.61
0.912,-1.55,-10.52,-0.09,10.64
0.922,-1.17,-10.55,0.75,10.65
0.932,-0.54,-10.50,1.47,10.62
0.942,0.34,-10.45,1.95,10.63
0.952,1.43,-10.38,2.24,10.72
0.962,2.59,-10.29,2.24,10.85
0.972,3.81,-10.21,1.98,11.08
0.982,4.97,-10.14,1.43,11.38
0.992,5.98,-10.10,0.62,11.76
1.002,6.77,-10.08,-0.37,12.15
1.012,7.31,-10.05,-1.49,12.51
1.022,7.51,-10.00,-2.69,12.79
1.032,7.38,-9.92,-3.87,12.96
1.042,6.94,-9.82,-4.99,13.02
1.052,6.16,-9.63,-5.91,12.87
1.062,5.14,-9.38,-6.64,12.59
1.072,3.86,-9.05,-7.11,12.14
1.082,2.47,-8.64,-7.27,11.56
1.092,1.02,-8.18,-7.12,10.89
1.102,-0.48,-7.65,-6.67,10.16
1.112,-1.90,-7.08,-5.94,9.44
1.122,-3.19,-6.49,-4.88,8.72
1.132,-3.87,-6.24,-3.97,8.35
1.142,8.50,-26.70,58.85,65.18
1.153,68.18,-116.81,136.10,191.88
1.163,39.13,-97.35,-53.29,117.68
1.172,6.30,-12.86,3.37,14.72
1.183,-13.40,-3.38,52.80,54.58
1.193,-2.19,-10.66,-3.44,11.42
1.203,-2.27,-8.76,-12.52,15.45
1.213,-4.43,-6.57,-5.55,9.68
1.223,-2.30,-2.47,-11.87,12.34
1.233,-3.91,-5.16,-10.30,12.17
1.243,-9.00,-4.33,-4.31,10.88
1.253,-17.30,-5.30,16.64,24.59
1.263,-6.76,-6.54,-0.32,9.41
1.273,-3.89,-5.96,-7.01,9.99
1.283,-2.26,-6.67,11.47,13.45
1.293,3.69,-7.37,33.14,34.15
1.303,-4.66,-9.07,6.31,12.00
1.313,-3.93,-6.81,-10.84,13.39
1.323,-4.02,-7.21,-14.99,17.11
1.333,-1.93,-5.63,-2.92,6.63
1.343,-3.09,-7.60,10.35,13.21
1.353,-2.08,-7.27,10.00,12.54
1.363,2.18,-5.04,11.80,13.02
1.373,-1.96,-6.62,2.99,7.52
